entropy,has_ip,numDigits,urlLength,numParameters,numFragments,isEncoded,numEncodedChar,numberOfPeriods,urlHasPortInString,num_%20,num_@,numSubDomains,hasHttp,hasHttps,urlAge,urlIntendedLifeSpan,urlLifeRemaining,urlIsLive,daysSinceExpiration,bodyLength,numTitles,numImages,numLinks,scriptLength,specialChars,sscr,sbr,bscr,numberOfWhitespace,numberOfIncludedElements,numberOfDoubleDocuments,numberOfIframes,File
-5.297906746,0,4,99,0,0,FALSE,0,1,FALSE,0,0,1,FALSE,TRUE,3230,3316,86,TRUE,86,117,1,1,1,6,22,0.272727273,0.051282051,0.188034188,94,7,0,0,tt-data/phish_links
-4.159886827,0,0,46,0,0,FALSE,0,2,FALSE,0,0,2,TRUE,FALSE,20,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-4.148600211,0,0,38,0,0,FALSE,0,1,FALSE,0,0,1,FALSE,TRUE,12,366,353,FALSE,353,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-4.702890051,0,16,80,0,0,FALSE,0,3,FALSE,0,0,3,FALSE,TRUE,8265,8400,134,TRUE,134,59580,7,0,15,9479,14903,0.636046434,0.159097012,0.250134273,2584,4,1,1,tt-data/phish_links
-4.311037868,0,2,44,0,0,FALSE,0,3,FALSE,0,0,2,FALSE,TRUE,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-4.021268495,0,1,29,0,0,FALSE,0,2,FALSE,0,0,1,FALSE,TRUE,2824,0,0,TRUE,0,26390,0,0,0,23810,566,42.06713781,0.902235695,0.021447518,201,0,0,0,tt-data/phish_links
-4.248495256,0,1,33,0,0,FALSE,0,2,FALSE,0,0,1,FALSE,TRUE,2824,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-4.236101692,0,0,56,0,0,FALSE,0,2,FALSE,0,0,5,FALSE,TRUE,155,365,209,TRUE,209,164,1,0,0,0,28,0,0,0.170731707,0,0,0,0,tt-data/phish_links
-3.849223912,0,0,23,0,0,FALSE,0,1,FALSE,0,0,1,TRUE,FALSE,8685,8766,80,TRUE,80,304,2,0,2,0,70,0,0,0.230263158,139,0,0,0,tt-data/phish_links
-4.073100935,0,0,58,0,0,FALSE,0,6,FALSE,0,0,2,TRUE,FALSE,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-4.094177321,0,0,50,0,0,FALSE,0,2,FALSE,0,0,3,FALSE,TRUE,926,1461,534,TRUE,534,15909,0,0,18,15365,3362,4.570196312,0.965805519,0.211326922,0,10,0,0,tt-data/phish_links
-4.129947184,0,1,42,0,0,FALSE,0,2,FALSE,0,0,2,FALSE,TRUE,3843,4017,173,TRUE,173,164,1,0,0,0,28,0,0,0.170731707,0,0,0,0,tt-data/phish_links
-4.430851902,0,9,46,0,0,FALSE,0,2,FALSE,0,0,2,TRUE,FALSE,520,730,209,FALSE,209,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-3.886842188,0,0,24,0,0,FALSE,0,1,FALSE,0,0,1,FALSE,TRUE,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-3.89366069,0,0,25,0,0,FALSE,0,1,FALSE,0,0,0,FALSE,TRUE,62,365,302,FALSE,302,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-4.021268495,0,0,29,0,0,FALSE,0,1,FALSE,0,0,1,FALSE,TRUE,37,365,327,FALSE,327,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-4.254830815,0,5,42,0,0,FALSE,0,3,FALSE,0,0,1,FALSE,TRUE,1499,2192,692,TRUE,692,2217,4,0,3,1365,478,2.855648536,0.615696888,0.215606676,680,1,0,0,tt-data/phish_links
-4.561188939,0,8,79,0,0,FALSE,0,2,FALSE,0,0,1,FALSE,TRUE,2662,2922,259,TRUE,259,100577,1,1,3,70847,32692,2.167105102,0.70440558,0.325044493,2321,0,0,0,tt-data/phish_links
-4.569919887,0,24,55,0,0,FALSE,0,3,FALSE,0,0,0,FALSE,TRUE,3598,3651,52,FALSE,52,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-4.12686236,0,0,43,0,0,FALSE,0,1,FALSE,0,0,3,FALSE,TRUE,5522,5844,321,TRUE,321,191,1,0,8,0,44,0,0,0.230366492,118,0,0,0,tt-data/phish_links
-4.300072114,0,3,42,0,0,FALSE,0,2,FALSE,0,0,1,TRUE,FALSE,6325,6574,248,FALSE,248,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-4.283381406,0,0,37,0,0,FALSE,0,3,FALSE,0,0,0,TRUE,FALSE,3598,3651,52,FALSE,52,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-3.9677201,0,1,28,0,0,FALSE,0,2,FALSE,0,0,1,TRUE,FALSE,2223,2556,332,TRUE,332,713,0,0,0,593,183,3.240437158,0.831697055,0.256661992,34,1,-1,0,tt-data/phish_links
-3.808719697,0,0,31,0,0,FALSE,0,2,FALSE,0,0,1,FALSE,TRUE,2824,0,0,TRUE,0,1417,3,1,2,0,421,0,0,0.297106563,0,0,0,0,tt-data/phish_links
-3.669480212,0,0,36,0,0,FALSE,0,2,FALSE,0,0,2,FALSE,TRUE,3158,3287,128,TRUE,128,5437,0,0,0,0,1300,0,0,0.239102446,0,0,0,0,tt-data/phish_links
-4.134336113,0,0,27,0,0,FALSE,0,2,FALSE,0,0,0,FALSE,TRUE,2922,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-3.754163428,0,1,27,0,0,FALSE,0,2,FALSE,0,0,1,FALSE,TRUE,1478,1827,348,TRUE,348,4293,0,0,0,3279,1028,3.189688716,0.763801537,0.239459585,646,1,0,0,tt-data/phish_links
-4.402695969,0,5,47,0,0,FALSE,0,2,FALSE,0,0,1,FALSE,TRUE,2824,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-4.335828419,0,0,54,0,0,FALSE,0,2,FALSE,0,0,1,FALSE,TRUE,3806,4017,210,TRUE,210,1417,3,1,2,0,421,0,0,0.297106563,0,0,0,0,tt-data/phish_links
-3.921029622,0,2,26,0,0,FALSE,0,2,FALSE,0,0,1,FALSE,TRUE,2824,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-4.486460609,0,0,49,0,0,FALSE,0,3,FALSE,0,0,1,TRUE,FALSE,5356,6209,852,TRUE,852,797,1,1,2,0,246,0,0,0.308657465,0,0,0,0,tt-data/phish_links
-4.493688187,0,7,59,0,0,FALSE,0,2,FALSE,0,0,2,FALSE,TRUE,776,1461,684,FALSE,684,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-4.416756714,0,14,51,0,0,FALSE,0,3,FALSE,0,0,2,FALSE,TRUE,1402,1461,58,FALSE,58,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-3.879024119,0,0,46,0,0,FALSE,0,3,FALSE,0,0,1,FALSE,TRUE,3598,3651,52,TRUE,52,926,1,0,1,82,280,0.292857143,0.088552916,0.30237581,0,0,0,0,tt-data/phish_links
-3.828237502,0,0,27,0,0,FALSE,0,2,FALSE,0,0,1,FALSE,TRUE,1478,1827,348,TRUE,348,4301,0,0,0,3279,1028,3.189688716,0.762380842,0.239014183,648,1,0,0,tt-data/phish_links
-4.183014003,0,6,35,0,0,FALSE,0,2,FALSE,0,0,1,FALSE,TRUE,2935,0,0,TRUE,0,741,2,0,1,0,212,0,0,0.286099865,0,0,0,0,tt-data/phish_links
-3.506890596,0,0,15,0,0,FALSE,0,1,FALSE,0,0,0,TRUE,FALSE,290,365,74,FALSE,74,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-3.844232899,0,2,21,0,0,FALSE,0,1,FALSE,0,0,1,TRUE,FALSE,9461,12808,3347,FALSE,3347,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-4.093340593,0,0,38,0,0,FALSE,0,1,FALSE,0,0,1,FALSE,TRUE,39,365,325,FALSE,325,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-4.319928068,0,12,57,0,0,FALSE,0,4,FALSE,0,0,3,FALSE,TRUE,1402,1461,58,FALSE,58,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-3.78418372,0,3,20,0,0,FALSE,0,1,FALSE,0,0,1,FALSE,TRUE,9523,11454,1931,TRUE,1931,7999,26,26,45,3041,1751,1.736721873,0.380172522,0.218902363,2861,11,0,0,tt-data/phish_links
-4.224117662,0,0,46,0,0,FALSE,0,2,FALSE,0,0,1,FALSE,TRUE,2824,0,0,TRUE,0,0,0,0,0,466,0,0,0,0,82,0,-3,0,tt-data/phish_links
-5.554397973,0,37,228,2,0,TRUE,1,5,FALSE,0,0,1,FALSE,TRUE,1977,4748,2770,TRUE,2770,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-4.319607333,0,4,51,0,0,FALSE,0,1,FALSE,0,0,3,TRUE,FALSE,0,0,0,TRUE,0,183,1,0,0,0,34,0,0,0.18579235,0,0,0,0,tt-data/phish_links
-4.224690806,0,1,56,0,0,FALSE,0,2,FALSE,0,0,1,FALSE,TRUE,2964,0,0,TRUE,0,8731,1,0,1,8526,3033,2.81107814,0.976520444,0.347382889,0,0,0,0,tt-data/phish_links
-4.207435517,0,4,35,0,0,FALSE,0,2,FALSE,0,0,1,FALSE,TRUE,1328,1461,132,TRUE,132,156,2,0,6,0,30,0,0,0.192307692,296,0,0,0,tt-data/phish_links
-4.204777458,0,0,52,0,0,FALSE,0,3,FALSE,0,0,1,FALSE,TRUE,3598,3651,52,TRUE,52,926,1,0,1,82,280,0.292857143,0.088552916,0.30237581,0,0,0,0,tt-data/phish_links
-4.243505102,0,1,67,0,0,FALSE,0,8,FALSE,0,0,3,FALSE,TRUE,128,365,236,FALSE,236,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-3.78418372,0,1,20,0,0,FALSE,0,1,FALSE,0,0,1,FALSE,TRUE,1110,1461,350,TRUE,350,268,2,0,1,0,52,0,0,0.194029851,0,0,0,0,tt-data/phish_links
-4.199691177,0,2,58,0,0,FALSE,0,2,FALSE,0,0,4,FALSE,TRUE,2203,2922,718,TRUE,718,5955,5,4,34,4054,1650,2.456969697,0.68077246,0.277078086,5844,22,0,0,tt-data/phish_links
-4.21411412,0,0,49,0,0,FALSE,0,3,FALSE,0,0,2,FALSE,TRUE,4685,4748,62,TRUE,62,183,1,0,0,0,34,0,0,0.18579235,0,0,0,0,tt-data/phish_links
-4.418986958,0,5,56,0,0,FALSE,0,2,FALSE,0,0,1,FALSE,TRUE,0,0,0,TRUE,0,1358,8,0,5,375,280,1.339285714,0.276141384,0.206185567,0,0,0,0,tt-data/phish_links
-4.825315198,0,10,108,0,0,FALSE,0,3,FALSE,0,0,3,FALSE,TRUE,0,0,0,TRUE,0,27,1,0,0,0,4,0,0,0.148148148,0,0,0,0,tt-data/phish_links
-4.27159838,0,11,44,0,0,FALSE,0,3,FALSE,0,0,2,FALSE,TRUE,1402,1461,58,FALSE,58,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-4.485004748,0,3,41,0,0,FALSE,0,2,FALSE,0,0,1,FALSE,TRUE,3328,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-4.473892629,0,2,68,0,1,FALSE,0,4,FALSE,0,1,1,FALSE,TRUE,5356,6209,852,FALSE,852,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-4.301839504,0,10,41,0,0,FALSE,0,3,FALSE,0,0,1,FALSE,TRUE,1402,1461,58,FALSE,58,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-4.104067815,0,0,56,0,0,FALSE,0,2,FALSE,0,0,2,FALSE,TRUE,2606,2922,315,TRUE,315,2881,2,0,2,0,848,0,0,0.294342242,0,0,0,0,tt-data/phish_links
-4.386541279,0,0,72,0,0,FALSE,0,2,FALSE,0,0,1,FALSE,TRUE,971,1095,123,FALSE,123,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-4.135099303,0,0,51,0,0,FALSE,0,4,FALSE,0,0,1,TRUE,FALSE,0,0,0,TRUE,0,0,0,0,0,1,0,0,0,0,0,2,-1,0,tt-data/phish_links
-3.838039817,0,1,27,0,0,FALSE,0,2,FALSE,0,0,1,FALSE,TRUE,2824,0,0,TRUE,0,915,2,1,0,741,294,2.520408163,0.809836066,0.321311475,124,0,0,0,tt-data/phish_links
-4.25123533,0,4,38,0,0,FALSE,0,1,FALSE,0,0,3,FALSE,TRUE,13,366,352,TRUE,352,3297,0,3,4,2745,1351,2.031828275,0.832575068,0.409766454,3144,8,0,0,tt-data/phish_links
-4.152920562,0,0,34,0,0,FALSE,0,1,FALSE,0,0,1,FALSE,TRUE,12,366,353,FALSE,353,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-3.84015686,0,0,35,0,0,FALSE,0,1,FALSE,0,0,2,FALSE,TRUE,10,366,355,FALSE,355,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-3.89542387,0,0,34,0,0,FALSE,0,4,FALSE,0,0,1,FALSE,TRUE,10231,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-4.951330387,0,12,108,0,0,FALSE,0,5,FALSE,0,0,1,FALSE,TRUE,0,0,0,TRUE,0,27,1,0,0,0,4,0,0,0.148148148,0,0,0,0,tt-data/phish_links
